transaction_id;product_id;locale;order_type;size;reason_code;price;fit_return_w_empty_reason_code;Fit Return;Product Name;Gender;date
750731609;6678;us;purchased;XS;;278,75;FALSE;FALSE;space_gloves;female;31.08.21
598265464;2305;uk;purchased;M;;;FALSE;FALSE;space_suit;female;14.12.21
173147295;2305;us;purchased;S;;207,24;FALSE;FALSE;space_suit;male;22.09.21
167877495;2305;germany;purchased;S;;;FALSE;FALSE;space_suit;female;12.11.21
249750102;2305;canada;purchased;S;;349,25;FALSE;FALSE;space_suit;male;29.09.21
416598408;6678;france;purchased;3XL;;;FALSE;FALSE;space_gloves;male;25.11.21
121829415;6678;uk;purchased;S;;;FALSE;FALSE;space_gloves;female;01.12.21
563407649;9602;uk;cancelled;XL;;;FALSE;FALSE;space_underwear;male;30.12.21
929726787;6678;germany;purchased;M;;;FALSE;FALSE;space_gloves;female;13.11.21
657681036;2305;uk;purchased;L;;;FALSE;FALSE;space_suit;male;17.11.21
634113822;9602;germany;purchased;L;;;FALSE;FALSE;space_underwear;male;13.12.21
845201799;2305;uk;purchased;L;;;FALSE;FALSE;space_suit;male;12.11.21
829315225;6678;canada;returned;S;;350,35;FALSE;FALSE;space_gloves;female;02.12.21
616583250;2305;france;purchased;S;;;FALSE;FALSE;space_suit;female;28.09.21
457530170;4982;germany;purchased;S;;;FALSE;FALSE;space_socks;female;24.12.21
870424058;2305;canada;purchased;L;;786,4;FALSE;FALSE;space_suit;male;27.10.21
379717768;2305;canada;purchased;S;;834,25;FALSE;FALSE;space_suit;female;25.12.21
440553258;2305;us;purchased;2XL;;517,6;FALSE;FALSE;space_suit;male;03.07.21
840532076;6678;canada;returned;XL;;73,5;FALSE;FALSE;space_gloves;male;27.09.21
366797227;2305;us;purchased;S;;351,5;FALSE;FALSE;space_suit;male;06.10.21
638359175;2305;us;returned;M;;244,88;FALSE;FALSE;space_suit;female;19.07.21
184393340;2305;france;purchased;M;;;FALSE;FALSE;space_suit;male;07.12.21
332661132;2305;uk;purchased;S;;;FALSE;FALSE;space_suit;female;27.09.21
884078181;2305;uk;purchased;M;;;FALSE;FALSE;space_suit;male;05.10.21
524152597;2305;us;purchased;S;;370,63;FALSE;FALSE;space_suit;female;06.12.21
228322777;2305;uk;returned;XS;;;FALSE;FALSE;space_suit;male;26.12.21
824580768;4982;us;cancelled;S;;;FALSE;FALSE;space_socks;female;27.11.21
177490206;2305;us;returned;S;;380,19;FALSE;FALSE;space_suit;male;10.11.21
849725550;4982;us;purchased;S;;364,25;FALSE;FALSE;space_socks;female;20.10.21
146375178;2305;uk;purchased;2XL;;;FALSE;FALSE;space_suit;male;26.12.21
129096281;2305;germany;purchased;M;;;FALSE;FALSE;space_suit;male;23.11.21
348322019;2305;uk;purchased;XL;;;FALSE;FALSE;space_suit;female;16.11.21
414367695;9602;canada;returned;L;;498,5;FALSE;FALSE;space_underwear;female;05.10.21
526624918;2305;us;purchased;2XL;;378,59;FALSE;FALSE;space_suit;female;26.11.21
500269892;6678;us;purchased;XS;;269,13;FALSE;FALSE;space_gloves;female;10.10.21
253561779;2305;us;purchased;L;;257,25;FALSE;FALSE;space_suit;female;18.11.21
583766840;6678;uk;cancelled;XS;;;FALSE;FALSE;space_gloves;male;11.11.21
789712914;4982;us;purchased;M;;343,75;FALSE;FALSE;space_socks;female;27.11.21
710686382;6678;us;purchased;XS;;333,72;FALSE;FALSE;space_gloves;male;07.12.21
871424928;2305;us;purchased;M;;160,7;FALSE;FALSE;space_suit;male;07.10.21
366646276;2305;us;returned;3XL;;372,7;FALSE;FALSE;space_suit;male;17.11.21
445048956;2305;sweden;purchased;L;;;FALSE;FALSE;space_suit;male;15.11.21
102915050;4982;sweden;returned;M;;;FALSE;FALSE;space_socks;female;13.12.21
301889307;6678;uk;returned;M;;;FALSE;FALSE;space_gloves;male;12.10.21
886610106;6678;uk;purchased;L;;;FALSE;FALSE;space_gloves;female;27.11.21
923459571;2305;us;purchased;M;;308,53;FALSE;FALSE;space_suit;female;27.10.21
921891452;2305;us;purchased;L;;;FALSE;FALSE;space_suit;male;14.09.21
389828533;2305;france;purchased;M;;;FALSE;FALSE;space_suit;female;08.11.21
492825152;2305;germany;purchased;XS;;;FALSE;FALSE;space_suit;female;10.11.21
148901757;2305;uk;purchased;L;;;FALSE;FALSE;space_suit;male;19.11.21
913143330;2305;germany;purchased;M;;;FALSE;FALSE;space_suit;male;27.11.21
959629100;2305;netherlands;purchased;M;;;FALSE;FALSE;space_suit;male;19.11.21
611713777;2305;uk;purchased;XL;;;FALSE;FALSE;space_suit;male;15.09.21
222069731;6678;uk;purchased;S;;;FALSE;FALSE;space_gloves;female;17.12.21
522504874;4982;canada;purchased;XL;;525,5;FALSE;FALSE;space_socks;female;26.10.21
332746145;2305;uk;purchased;S;;;FALSE;FALSE;space_suit;female;22.12.21
188085002;2305;us;purchased;L;;230,5;FALSE;FALSE;space_suit;female;26.09.21
239279401;9602;us;purchased;2XL;;;FALSE;FALSE;space_underwear;female;01.10.21
108577193;2305;us;returned;S;;;FALSE;FALSE;space_suit;female;14.11.21
380507550;2305;canada;purchased;M;;73,5;FALSE;FALSE;space_suit;male;08.12.21
170106355;2305;germany;purchased;L;;;FALSE;FALSE;space_suit;female;14.11.21
491449322;2305;germany;purchased;L;;;FALSE;FALSE;space_suit;female;28.12.21
377014252;6678;uk;returned;S;;;FALSE;FALSE;space_gloves;male;08.12.21
560260421;6678;us;purchased;2XL;;209,38;FALSE;FALSE;space_gloves;male;10.10.21
887591403;1219;us;purchased;M;;34,31;FALSE;FALSE;space_helmet;female;02.12.21
419082482;2305;uk;purchased;XS;;;FALSE;FALSE;space_suit;female;01.12.21
152563833;2305;us;purchased;L;;;FALSE;FALSE;space_suit;female;14.09.21
404796902;2305;uk;purchased;M;;;FALSE;FALSE;space_suit;male;04.12.21
102641548;1219;ireland;purchased;XL;;;FALSE;FALSE;space_helmet;male;20.12.21
259709487;2305;canada;purchased;XS;;;FALSE;FALSE;space_suit;male;30.09.21
692551940;2305;uk;purchased;M;;;FALSE;FALSE;space_suit;female;26.11.21
529843677;6678;uk;purchased;M;;;FALSE;FALSE;space_gloves;male;06.12.21
350455513;2305;us;returned;M;;351,5;FALSE;FALSE;space_suit;female;09.12.21
174152136;2305;us;purchased;S;;343,75;FALSE;FALSE;space_suit;female;13.12.21
202142661;2305;canada;purchased;S;;569,75;FALSE;FALSE;space_suit;male;28.08.21
806273008;6678;germany;purchased;M;;;FALSE;FALSE;space_gloves;female;08.12.21
198646621;6678;uk;purchased;S;;;FALSE;FALSE;space_gloves;female;30.11.21
355260848;2305;canada;purchased;L;;786,4;FALSE;FALSE;space_suit;female;17.11.21
723104075;6678;us;purchased;M;;394,53;FALSE;FALSE;space_gloves;male;20.12.21
361935563;6678;uk;purchased;S;;;FALSE;FALSE;space_gloves;male;06.10.21
221099168;2305;canada;purchased;S;;825,6;FALSE;FALSE;space_suit;female;14.10.21
278516420;2305;uk;purchased;M;;;FALSE;FALSE;space_suit;male;27.12.21
798909576;2305;uk;purchased;XS;;;FALSE;FALSE;space_suit;female;08.12.21
651625245;2305;uk;returned;S;;;FALSE;FALSE;space_suit;female;23.12.21
925150676;2305;belgium;purchased;M;;;FALSE;FALSE;space_suit;male;17.11.21
673718378;6678;canada;returned;M;;802,35;FALSE;FALSE;space_gloves;male;13.10.21
287004039;2305;canada;purchased;2XS;;417,5;FALSE;FALSE;space_suit;female;17.10.21
915598430;6678;uk;purchased;XL;;;FALSE;FALSE;space_gloves;male;27.12.21
537678185;2305;canada;purchased;M;;338,4;FALSE;FALSE;space_suit;female;18.09.21
752516390;6678;ireland;purchased;XL;;;FALSE;FALSE;space_gloves;male;17.12.21
338137449;4982;uk;purchased;S;;;FALSE;FALSE;space_socks;female;29.11.21
121844454;2305;uk;purchased;L;;;FALSE;FALSE;space_suit;female;02.12.21
416885735;2305;france;purchased;S;;;FALSE;FALSE;space_suit;female;09.12.21
854310664;6678;us;cancelled;M;;320,63;FALSE;FALSE;space_gloves;male;08.11.21
864052372;2305;uk;purchased;XL;;;FALSE;FALSE;space_suit;male;05.10.21
318049735;6678;uk;purchased;M;;;FALSE;FALSE;space_gloves;male;29.12.21
478793405;2305;us;purchased;L;;;FALSE;FALSE;space_suit;male;20.10.21
340785584;4982;canada;purchased;2XL;;525,5;FALSE;FALSE;space_socks;female;23.10.21
600888335;9602;uk;purchased;XL;;;FALSE;FALSE;space_underwear;male;07.12.21
901230925;2305;ireland;purchased;M;;;FALSE;FALSE;space_suit;male;26.12.21
954052205;2305;us;purchased;M;;409,53;FALSE;FALSE;space_suit;male;15.12.21
197300968;6678;uk;purchased;S;;;FALSE;FALSE;space_gloves;female;06.12.21
122723436;1219;uk;returned;L;;;FALSE;FALSE;space_helmet;female;19.12.21
333326054;2305;us;purchased;XS;;210,94;FALSE;FALSE;space_suit;female;04.09.21
150419000;2305;germany;purchased;M;;;FALSE;FALSE;space_suit;female;21.12.21
461183610;4982;canada;purchased;S;;525,5;FALSE;FALSE;space_socks;female;26.11.21
292547102;2305;canada;purchased;S;;802,35;FALSE;FALSE;space_suit;male;21.10.21
